iId ,iPrimaryItemId,iPrimaryItemRate,sPrimaryItemAttributeID,iPrimaryItemAttributeLowerBound,iPrimaryItemAttributeUpperBound,iPrimaryItemAttributeRate,iSecondaryItemRate,sSecondaryItemAttributeID,iSecondaryItemAttributeLowerBound,iSecondaryItemAttributeUpperBound,iSecondaryItemQualityLevelLowerBound,iSecondaryItemQualityLevelUpperBound,iSecondaryItemTypeFilter
9,1,0,0,1,1,-1,20000,0;0;10000,1,38,1,3,14300000
10,1,0,0,1,1,-1,21000,0;0;10000,1,40,1,4,14300000
11,1,0,0,1,1,-1,22000,0;0;15000,1,40,2,4,14300000
12,1,0,0,1,1,-1,23000,0;0;20000,1,40,1,5,14300000
13,1,0,0,1,1,-1,24000,0;0;20000,1,50,2,5,14300000
14,1,0,0,1,1,-1,25000,0;0;25000,1,50,2,5,14300000
15,1,0,0,1,1,-1,26000,0;0;25000,1,60,1,6,14300000
16,1,0,0,1,1,-1,27000,0;10000;30000,1,60,2,6,14300000
17,1,0,0,1,1,-1,28000,0;10000;30000,15,60,2,6,14300000
18,1,0,0,1,1,-1,29000,0;15000;35000,15,70,1,7,14300000
19,1,0,0,1,1,-1,30000,5000;20000;40000,15,70,2,7,14300000
20,1,0,0,1,1,-1,30000,5000;20000;40000,15,70,2,7,14300000
21,1,0,0,1,1,-1,30000,5000;20000;40000,35,80,1,8,14300000
22,1,0,0,1,1,-1,30000,5000;25000;40000,35,80,2,8,14300000
23,1,0,0,1,1,-1,30000,5000;25000;40000,35,80,2,8,14300000
24,1,0,0,1,1,-1,30000,10000;25000;40000,35,90,2,9,14300000
25,1,0,0,1,1,-1,30000,10000;25000;40000,35,90,3,9,14300000
26,1,0,0,1,1,-1,30000,10000;25000;40000,40,90,4,9,14300000
27,1,0,0,1,1,-1,30000,10000;25000;40000,40,100,3,10,14300000
28,1,0,0,1,1,-1,30000,10000;25000;40000,40,100,4,10,14300000
29,1,0,0,1,1,-1,30000,10000;25000;40000,40,100,5,10,14300000
30,1,0,0,1,1,-1,30000,10000;25000;40000,40,110,4,11,14300000
31,1,0,0,1,1,-1,35000,10000;25000;40000,50,110,5,11,14300000
32,1,0,0,1,1,-1,35000,10000;25000;40000,50,110,6,11,14300000
33,1,0,0,1,1,-1,35000,10000;25000;40000,50,120,5,12,14300000
34,1,0,0,1,1,-1,35000,10000;25000;40000,50,120,6,12,14300000
35,1,0,0,1,1,-1,35000,10000;25000;40000,50,120,7,12,14300000
36,1,0,0,1,1,-1,35000,10000;25000;40000,60,130,5,13,14300000
37,1,0,0,1,1,-1,35000,10000;25000;40000,60,130,6,13,14300000
38,1,0,0,1,1,-1,35000,10000;25000;40000,60,130,7,13,14300000
39,1,0,0,1,1,-1,35000,10000;25000;40000,60,140,5,14,14300000
40,1,0,0,1,1,-1,35000,10000;25000;40000,60,140,6,14,14300000
41,1,0,0,1,1,-1,35000,10000;25000;40000,70,140,7,14,14300000
42,1,0,0,1,1,-1,35000,10000;25000;40000,70,150,5,15,14300000
43,1,0,0,1,1,-1,35000,10000;25000;40000,70,150,6,15,14300000
44,1,0,0,1,1,-1,35000,10000;25000;40000,70,150,7,15,14300000
45,1,0,0,1,1,-1,35000,10000;25000;40000,70,160,6,16,14300000
46,1,0,0,1,1,-1,35000,10000;25000;40000,70,160,7,16,14300000
47,1,0,0,1,1,-1,35000,10000;25000;40000,70,160,8,16,14300000
48,1,0,0,1,1,-1,35000,10000;25000;40000,70,170,6,17,14300000
49,1,0,0,1,1,-1,35000,10000;25000;40000,70,170,7,17,14300000
50,1,0,0,1,1,-1,35000,10000;25000;40000,80,170,8,17,14300000
51,1,0,0,1,1,-1,35000,10000;25000;40000,80,180,7,18,14300000
52,1,0,0,1,1,-1,35000,10000;25000;40000,80,180,8,18,14300000
53,1,0,0,1,1,-1,35000,10000;25000;40000,80,180,9,18,14300000
54,1,0,0,1,1,-1,35000,10000;25000;40000,80,190,7,19,14300000
55,1,0,0,1,1,-1,35000,10000;25000;40000,80,190,8,19,14300000
56,1,0,0,1,1,-1,35000,10000;25000;40000,80,190,9,19,14300000
57,1,0,0,1,1,-1,35000,10000;25000;40000,80,200,8,20,14300000
58,1,0,0,1,1,-1,35000,10000;25000;40000,80,200,9,20,14300000
59,1,0,0,1,1,-1,35000,10000;25000;40000,80,200,10,20,14300000
60,1,0,0,1,1,-1,35000,10000;25000;40000,80,210,8,21,14300000
61,1,0,0,1,1,-1,35000,10000;25000;40000,80,210,9,21,14300000
62,1,0,0,1,1,-1,35000,10000;25000;40000,80,210,10,21,14300000
63,1,0,0,1,1,-1,35000,10000;25000;40000,80,220,9,22,14300000
64,1,0,0,1,1,-1,35000,10000;25000;40000,80,220,10,22,14300000
65,1,0,0,1,1,-1,35000,10000;25000;40000,80,220,11,22,14300000
66,1,0,0,1,1,-1,35000,10000;25000;40000,80,230,9,23,14300000
67,1,0,0,1,1,-1,35000,10000;25000;40000,80,230,10,23,14300000
68,1,0,0,1,1,-1,35000,10000;25000;40000,80,230,11,23,14300000
69,1,0,0,1,1,-1,35000,10000;25000;40000,80,240,10,24,14300000
70,1,0,0,1,1,-1,35000,10000;25000;40000,80,240,11,24,14300000
809,1,0,0,1,1,-1,60000,0;0;10000,1,38,2,3,14300000
810,1,0,0,1,1,-1,60000,0;0;10000,1,40,2,4,14300000
811,1,0,0,1,1,-1,60000,0;0;15000,1,40,3,4,14300000
812,1,0,0,1,1,-1,60000,0;0;20000,1,40,3,5,14300000
813,1,0,0,1,1,-1,60000,0;0;20000,1,50,4,5,14300000
814,1,0,0,1,1,-1,60000,0;0;25000,1,50,4,5,14300000
815,1,0,0,1,1,-1,60000,0;0;25000,1,60,5,6,14300000
816,1,0,0,1,1,-1,60000,0;35000;60000,1,60,5,6,14300000
817,1,0,0,1,1,-1,60000,0;40000;60000,15,60,5,6,14300000
818,1,0,0,1,1,-1,60000,0;45000;60000,15,70,4,7,14300000
819,1,0,0,1,1,-1,60000,10000;40000;60000,15,70,5,7,14300000
820,1,0,0,1,1,-1,60000,10000;40000;65000,15,70,5,7,14300000
821,1,0,0,1,1,-1,60000,10000;45000;65000,35,80,4,8,14300000
822,1,0,0,1,1,-1,60000,10000;45000;65000,35,80,5,8,14300000
823,1,0,0,1,1,-1,60000,10000;45000;70000,35,80,5,8,14300000
824,1,0,0,1,1,-1,60000,15000;45000;70000,35,90,5,9,14300000
825,1,0,0,1,1,-1,60000,15000;45000;75000,35,90,6,9,14300000
826,1,0,0,1,1,-1,60000,15000;50000;75000,40,90,7,9,14300000
827,1,0,0,1,1,-1,60000,15000;50000;80000,40,100,6,10,14300000
828,1,0,0,1,1,-1,60000,15000;50000;80000,40,100,7,10,14300000
829,1,0,0,1,1,-1,60000,15000;50000;80000,40,100,8,10,14300000
830,1,0,0,1,1,-1,60000,15000;50000;80000,40,110,7,11,14300000
831,1,0,0,1,1,-1,60000,15000;50000;80000,50,110,8,11,14300000
832,1,0,0,1,1,-1,60000,15000;50000;80000,50,110,9,11,14300000
833,1,0,0,1,1,-1,60000,15000;50000;80000,50,120,8,12,14300000
834,1,0,0,1,1,-1,60000,15000;50000;80000,50,120,9,12,14300000
835,1,0,0,1,1,-1,60000,15000;50000;80000,50,120,10,12,14300000
836,1,0,0,1,1,-1,60000,20000;50000;80000,60,130,8,13,14300000
837,1,0,0,1,1,-1,60000,20000;50000;80000,60,130,9,13,14300000
838,1,0,0,1,1,-1,60000,20000;50000;80000,60,130,10,13,14300000
839,1,0,0,1,1,-1,60000,20000;50000;80000,60,140,8,14,14300000
840,1,0,0,1,1,-1,60000,20000;50000;80000,60,140,9,14,14300000
841,1,0,0,1,1,-1,60000,20000;50000;80000,70,140,10,14,14300000
842,1,0,0,1,1,-1,60000,20000;50000;80000,70,150,8,15,14300000
843,1,0,0,1,1,-1,60000,20000;50000;80000,70,150,9,15,14300000
844,1,0,0,1,1,-1,60000,20000;50000;80000,70,150,10,15,14300000
845,1,0,0,1,1,-1,60000,20000;50000;80000,70,160,9,16,14300000
846,1,0,0,1,1,-1,60000,20000;50000;80000,70,160,10,16,14300000
847,1,0,0,1,1,-1,60000,20000;50000;80000,70,160,11,16,14300000
848,1,0,0,1,1,-1,60000,20000;50000;80000,70,170,9,17,14300000
849,1,0,0,1,1,-1,60000,20000;50000;80000,70,170,10,17,14300000
850,1,0,0,1,1,-1,60000,20000;50000;80000,80,170,11,17,14300000
851,1,0,0,1,1,-1,60000,20000;50000;80000,80,180,10,18,14300000
852,1,0,0,1,1,-1,60000,20000;50000;80000,80,180,11,18,14300000
853,1,0,0,1,1,-1,60000,20000;50000;80000,80,180,12,18,14300000
854,1,0,0,1,1,-1,60000,20000;50000;80000,80,190,10,19,14300000
855,1,0,0,1,1,-1,60000,20000;50000;80000,80,190,11,19,14300000
856,1,0,0,1,1,-1,60000,20000;50000;80000,80,190,12,19,14300000
857,1,0,0,1,1,-1,60000,20000;50000;80000,80,200,11,20,14300000
858,1,0,0,1,1,-1,60000,20000;50000;80000,80,200,12,20,14300000
859,1,0,0,1,1,-1,60000,20000;50000;80000,80,200,13,20,14300000
860,1,0,0,1,1,-1,60000,20000;50000;80000,80,210,11,21,14300000
861,1,0,0,1,1,-1,60000,20000;50000;80000,80,210,12,21,14300000
862,1,0,0,1,1,-1,60000,20000;50000;80000,80,210,13,21,14300000
863,1,0,0,1,1,-1,60000,20000;50000;80000,80,220,12,22,14300000
864,1,0,0,1,1,-1,60000,20000;50000;80000,80,220,13,22,14300000
865,1,0,0,1,1,-1,60000,20000;50000;80000,80,220,14,22,14300000
866,1,0,0,1,1,-1,60000,20000;50000;80000,80,230,12,23,14300000
867,1,0,0,1,1,-1,60000,20000;50000;80000,80,230,13,23,14300000
868,1,0,0,1,1,-1,60000,20000;50000;80000,80,230,14,23,14300000
869,1,0,0,1,1,-1,60000,20000;50000;80000,80,240,13,24,14300000
870,1,0,0,1,1,-1,60000,20000;50000;80000,80,240,14,24,14300000
9110,1,0,0,1,1,-1,80000,30000;70000;90000,80,100,8,10,14300000
9210,1,0,0,1,1,-1,80000,40000;70000;90000,100,140,11,14,14300000
9310,1,0,0,1,1,-1,80000,40000;70000;90000,120,170,13,17,14300000
9410,1,0,0,1,1,-1,80000,40000;70000;90000,140,200,17,20,14300000
9510,1,0,0,1,1,-1,80000,30000;70000;80000,160,230,16,23,14300000
11003,1,0,0,1,0,-1,0,0,1,0,0,0,0
11006,1,0,0,1,0,-1,0,0,1,0,0,0,0
11007,1,0,0,1,0,-1,0,0,1,0,0,0,0
11008,1,0,0,1,0,-1,0,0,1,0,0,0,0
