iId,iEffectGroupId,iLevel,sName,iDisPlayMode,sIcon,iLoseType,iType,iIsInBattle,iRespondType,iBoutDuration,iIsLoopRespond,iTimeType,iAidertime,iTimeDuration,sScript,sDescription,sOwnerGetFx,sOwnerGetFxDelay,sOwnerRunFx,sOwnerRunFxDelay,sOwnerLoseFx,sOwnerLoseFxDelay,sOpponentGetFx,sOpponentGetFxDelay,sOpponentRunFx,sOpponentRunFxDelay,sOpponentLoseFx,sOpponentLoseFxDelay,sFullGetFx,sFullGetFxDelay,sFullRunFx,sFullRunFxDelay,sFullLoseFx,sFullLoseFxDelay
1,1,1,攻击力+1,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 1; owner['minAttack'] += 1;,攻击力: +1;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,2,攻击力+2,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 2; owner['minAttack'] += 2;,攻击力: +2;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,3,攻击力+3,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 3; owner['minAttack'] += 3;,攻击力: +3;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,4,攻击力+4,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 4; owner['minAttack'] += 4;,攻击力: +4;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,5,攻击力+5,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 5; owner['minAttack'] += 5;,攻击力: +5;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,6,攻击力+6,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 6; owner['minAttack'] += 6;,攻击力: +6;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,7,攻击力+7,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 7; owner['minAttack'] += 7;,攻击力: +7;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,8,攻击力+8,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 8; owner['minAttack'] += 8;,攻击力: +8;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,9,攻击力+9,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 9; owner['minAttack'] += 9;,攻击力: +9;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,10,攻击力+10,3,null,64,1,1,1,1,0,0,0,0,owner['maxAttack'] += 10; owner['minAttack'] += 10;,攻击力: +10;,101,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2,1,每秒1伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 1;,每秒伤害+1;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
22,2,2,每秒1.5伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 1.5;,每秒伤害+1.5;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
23,2,3,每秒2伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 2;,每秒伤害+2;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
24,2,4,每秒2.5伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 2.5;,每秒伤害+2.5;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
25,2,5,每秒3伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 3;,每秒伤害+3;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
26,2,6,每秒4伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 4;,每秒伤害+4;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
27,2,7,每秒4.5伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 4.5;,每秒伤害+4.5;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
28,2,8,每秒5伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 5;,每秒伤害+5;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
29,2,9,每秒5.5伤害,3,null,1,1,1,4,0,1,4,0,10000,opponent['hp'] -= 5.5;,每秒伤害+5.5;,2101,0,-1,-1,-1,-1,-1,-1,2102,2000,-1,-1,-1,-1,-1,-1,-1,-1
